id,text,label,source,source_group,created_at
1,"Terima kasih informasinya, sangat bermanfaat!",normal_konstruktif,sample,demo,2026-01-15T10:00:00Z
2,"Acara dimulai jam berapa ya?",normal_konstruktif,sample,demo,2026-01-15T10:05:00Z
3,"Videonya membantu sekali untuk belajar",normal_konstruktif,sample,demo,2026-01-15T10:10:00Z
4,"Mantap bang kontennya keren",normal_konstruktif,sample,demo,2026-01-15T10:15:00Z
5,"Semoga sukses terus channelnya",normal_konstruktif,sample,demo,2026-01-15T10:20:00Z
6,"Salam dari Surabaya",normal_konstruktif,sample,demo,2026-01-15T10:25:00Z
7,"Next time bahas tentang AI dong",normal_konstruktif,sample,demo,2026-01-15T10:30:00Z
8,"Udah subscribe dan nyalain lonceng",normal_konstruktif,sample,demo,2026-01-15T10:35:00Z
9,"Menarik banget pembahasannya",normal_konstruktif,sample,demo,2026-01-15T10:40:00Z
10,"Baru nemu channel ini, langsung subscribe",normal_konstruktif,sample,demo,2026-01-15T10:45:00Z
11,"Penjelasannya terlalu cepat, agak susah diikuti",kritik_wajar,sample,demo,2026-01-15T11:00:00Z
12,"Pelayanannya masih lambat banget",kritik_wajar,sample,demo,2026-01-15T11:05:00Z
13,"Audio-nya kurang jelas, tolong diperbaiki",kritik_wajar,sample,demo,2026-01-15T11:10:00Z
14,"Informasinya kurang akurat menurut saya",kritik_wajar,sample,demo,2026-01-15T11:15:00Z
15,"Pembahasannya terlalu dangkal untuk topik ini",kritik_wajar,sample,demo,2026-01-15T11:20:00Z
16,"Videonya kepanjangan, bisa diringkas",kritik_wajar,sample,demo,2026-01-15T11:25:00Z
17,"Durasi 3 jam tapi isinya cuma 30 menit",kritik_wajar,sample,demo,2026-01-15T11:30:00Z
18,"Thumbnailnya clickbait, isi videonya beda",kritik_wajar,sample,demo,2026-01-15T11:35:00Z
19,"Penjelasannya membingungkan dan tidak runtut",kritik_wajar,sample,demo,2026-01-15T11:40:00Z
20,"Harusnya ada subtitle buat yang tunarungu",kritik_wajar,sample,demo,2026-01-15T11:45:00Z
21,"Anjir apa banget dah",bahasa_kasar,sample,demo,2026-01-15T12:00:00Z
22,"Kontennya sampah semua",bahasa_kasar,sample,demo,2026-01-15T12:05:00Z
23,"Gila banget ini mah",bahasa_kasar,sample,demo,2026-01-15T12:10:00Z
24,"Bangsat emang ini orang",bahasa_kasar,sample,demo,2026-01-15T12:15:00Z
25,"Tai lah ga guna banget",bahasa_kasar,sample,demo,2026-01-15T12:20:00Z
26,"Kampret kontennya bikin emosi",bahasa_kasar,sample,demo,2026-01-15T12:25:00Z
27,"Buset dah ini apa an",bahasa_kasar,sample,demo,2026-01-15T12:30:00Z
28,"Goblok banget ini video",bahasa_kasar,sample,demo,2026-01-15T12:35:00Z
29,"Najis gue liat kontennya",bahasa_kasar,sample,demo,2026-01-15T12:40:00Z
30,"Asu lah bikin kesel aja",bahasa_kasar,sample,demo,2026-01-15T12:45:00Z
31,"Muka lo jelek banget, ngapain tampil",personal_harassment,sample,demo,2026-01-15T13:00:00Z
32,"Dasar bodoh, otak kosong kayak botol",personal_harassment,sample,demo,2026-01-15T13:05:00Z
33,"Orang kayak dia emang ga punya otak",personal_harassment,sample,demo,2026-01-15T13:10:00Z
34,"Badan gendut gitu masih pede tampil",personal_harassment,sample,demo,2026-01-15T13:15:00Z
35,"Lo tuh ga pantes jadi youtuber, tolol",personal_harassment,sample,demo,2026-01-15T13:20:00Z
36,"Tampang kampung sok pinter",personal_harassment,sample,demo,2026-01-15T13:25:00Z
37,"Suaranya cempreng bikin sakit telinga",personal_harassment,sample,demo,2026-01-15T13:30:00Z
38,"Dasar oon, ga bisa mikir ya",personal_harassment,sample,demo,2026-01-15T13:35:00Z
39,"Kualitas rendahan, persis orangnya",personal_harassment,sample,demo,2026-01-15T13:40:00Z
40,"Ga usah bikin konten deh, memalukan",personal_harassment,sample,demo,2026-01-15T13:45:00Z
41,"Dasar orang kafir, masuk neraka lo",hate_speech,sample,demo,2026-01-15T14:00:00Z
